id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,title_abstract_screening,full-text_screening,reason_for_exclusion
,Jansson (2003),Web of Science,"Jansson, KA; Linko, E; Sandelin, J; Harilainen, A",Jansson,A prospective randomized study of patellar versus hamstring tendon autografts for anterior cruciate ligament reconstruction,A prospective randomized study of p,2003,10.1177/03635465030310010501,American Journal Of Sports Medicine,,,
,Beynnon (2005),Web of Science,"Beynnon, BD; Uh, BS; Johnson, RJ; Abate, JA; Nichols, CE; Fleming, BC; Poole, AR; Roos, H",Beynnon,"Rehabilitation after anterior cruciate ligament reconstruction - A prospective, randomized, double-blind comparison of programs administered over 2 different time intervals",Rehabilitation after anterior cruci,2005,10.1177/0363546504268406,American Journal Of Sports Medicine,,,
,Pinczewski (2002),Web of Science,"Pinczewski, LA; Deehan, DJ; Salmon, LJ; Russell, VJ; Clingeleffer, A",Pinczewski,A five-year comparison of patellar tendon versus four-strand hamstring tendon autograft for Arthroscopic reconstruction of the anterior cruciate ligament,A five-year comparison of patellar ,2002,10.1177/03635465020300041201,American Journal Of Sports Medicine,,,
,Endele (2009),Web of Science,"Endele, D; Jung, C; Becker, U; Bauer, G; Mauch, F",Endele,Anterior Cruciate Ligament Reconstruction With and Without Computer Navigation: A Clinical and Magnetic Resonance Imaging Evaluation 2 Years After Surgery,Anterior Cruciate Ligament Reconstr,2009,10.1016/j.arthro.2009.05.016,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Huang (2007),Web of Science,"Huang, MH; Yang, RC; Chou, PH",Huang,Preliminary effects of hyaluronic acid on early rehabilitation of patients with isolated anterior cruciate ligament reconstruction,Preliminary effects of hyaluronic a,2007,10.1097/JSM.0b013e31812570fa,Clinical Journal Of Sport Medicine,,,
,Borges (2022),Web of Science,"Borges, JHD; Oliveira, M; Lobo, P; Machado, RD; Lima, R; Ramos, LA; Cohen, M",Borges,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,Is contralateral autogenous patella,2022,10.1016/j.knee.2022.03.015,Knee,,,
,Sasaki (2016),Web of Science,"Sasaki, S; Tsuda, E; Hiraga, Y; Yamamoto, Y; Maeda, S; Sasaki, E; Ishibashi, Y",Sasaki,Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,Prospective Randomized Study of Obj,2016,10.1177/0363546515624471,American Journal Of Sports Medicine,,,
,Sonnery-Cottet (2020),Web of Science,"Sonnery-Cottet, B; Pioger, C; Vieira, TD; Franck, F; Kajetanek, C; Fayard, JM; Thaunat, M; Saithna, A",Sonnery-Cottet,Combined ACL and Anterolateral Reconstruction Is Not Associated With a Higher Risk of Adverse Outcomes: Preliminary Results From the SANTI Randomized Controlled Trial,Combined ACL and Anterolateral Reco,2020,10.1177/2325967120918490,Orthopaedic Journal Of Sports Medicine,,,
,Mayr (2014),Web of Science,"Mayr, HO; Stüeken, P; Münch, EO; Wolter, M; Bernstein, A; Suedkamp, NP; Stoehr, A",Mayr,Brace or no-brace after ACL graft? Four-year results of a prospective clinical trial,Brace or no-brace after ACL graft? ,2014,10.1007/s00167-013-2564-2,Knee Surgery Sports Traumatology Arthroscopy,,,
,Walters (2018),Web of Science,"Walters, BL; Porter, DA; Hobart, SJ; Bedford, BB; Hogan, DE; McHugh, MM; Klein, DA; Harousseau, K; Nicholas, SJ",Walters,Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction A Double-Blind Randomized Controlled Trial,Effect of Intraoperative Platelet-R,2018,10.1177/0363546518769295,American Journal Of Sports Medicine,,,
,Anz (2023),Web of Science,"Anz, AW; Jordan, SE; Ostrander, RV III; Branch, EA; Denney, TS; Cohen, A; Andrews, JR",Anz,Augmentation of ACL Autograft Reconstruction With an Amnion Collagen Matrix Wrap and Bone Marrow Aspirate Concentrate: A Pilot Randomized Controlled Trial With 2-Year Follow-up,Augmentation of ACL Autograft Recon,2023,10.1177/23259671231210035,Orthopaedic Journal Of Sports Medicine,,,
,Beaudoin (2022),Web of Science,"Beaudoin, A; Ogborn, D; McRae, S; Larose, G; Brown, H; McCormack, R; MacDonald, P",Beaudoin,No differences found in long-term outcomes of a randomized controlled trial comparing ipsilateral versus contralateral hamstring graft in ACL reconstruction,No differences found in long-term o,2022,10.1007/s00167-022-06980-x,Knee Surgery Sports Traumatology Arthroscopy,,,
,Arneja (2004),Web of Science,"Arneja, S; Froese, W; MacDonald, P",Arneja,Augmentation of femoral fixation in hamstring anterior cruciate ligament reconstruction with a bioabsorbable bead - A prospective single-blind randomized clinical trial,Augmentation of femoral fixation in,2004,10.1177/0095399703258675,American Journal Of Sports Medicine,,,
,Birmingham (2008),Web of Science,"Birmingham, TB; Bryant, DM; Giffin, JR; Litchfield, RB; Kramer, JF; Donner, A; Fowler, PJ",Birmingham,A randomized controlled trial comparing the effectiveness of functional knee brace and neoprene sleeve use after anterior cruciate ligament reconstruction,A randomized controlled trial compa,2008,10.1177/0363546507311601,American Journal Of Sports Medicine,,,
,Kulinski (2023),Web of Science,"Kulinski, K; Wasko, MK; Trams, E; Malesa, K; Pomianowski, S; Kaminski, R",Kulinski,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study",Anterior Cruciate Ligament Reconstr,2023,10.1177/03635465221149738,American Journal Of Sports Medicine,,,
,Zhang (2014),Web of Science,"Zhang, Q; Zhang, S; Cao, XC; Liu, LF; Liu, Y; Li, R",Zhang,The effect of remnant preservation on tibial tunnel enlargement in ACL reconstruction with hamstring autograft: a prospective randomized controlled trial,The effect of remnant preservation ,2014,10.1007/s00167-012-2341-7,Knee Surgery Sports Traumatology Arthroscopy,,,
,Smith (2020),Web of Science,"Smith, PA; Cook, CS; Bley, JA",Smith,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,All-Inside Quadrupled Semitendinosu,2020,10.1016/j.arthro.2020.01.048,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Bottoni (2008),Web of Science,"Bottoni, CR; Liddell, TR; Trainor, TJ; Freccero, DM; Lindell, KK",Bottoni,"Postoperative range of motion following anterior cruciate ligament reconstruction using autograft hamstrings - A prospective, randomized clinical trial of early versus delayed reconstructions",Postoperative range of motion follo,2008,10.1177/0363546507312164,American Journal Of Sports Medicine,,,
,Mohtadi (2015),Web of Science,"Mohtadi, N; Chan, D; Barber, R; Paolucci, EO",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at a Minimal 2-Year Follow-up",A Randomized Clinical Trial Compari,2015,10.1097/JSM.0000000000000165,Clinical Journal Of Sport Medicine,,,
,Balasingam (2022),Web of Science,"Balasingam, S; Karikis, I; Rostgård-Christensen, L; Desai, N; Ahldén, M; Sernert, N; Kartus, J",Balasingam,Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction Is Not Superior to Anatomic Single-Bundle Reconstruction at 10-Year Follow-up: A Randomized Clinical Trial,Anatomic Double-Bundle Anterior Cru,2022,10.1177/03635465221128566,American Journal Of Sports Medicine,,,
,Järvelä (2008),Web of Science,"Järvelä, T; Moisala, AS; Sihvonen, R; Järvelä, S; Kannus, P; Järvinen, M",Järvelä,Double-bundle anterior cruciate ligament reconstruction using hamstring autografts and bioabsorbable interference screw fixation,Double-bundle anterior cruciate lig,2008,10.1177/0363546507308360,American Journal Of Sports Medicine,,,
,MacDonald (2018),Web of Science,"MacDonald, P; Kim, C; McRae, S; Leiter, J; Khan, R; Whelan, D",MacDonald,"No clinical differences between anteromedial portal and transtibial technique for femoral tunnel positioning in anterior cruciate ligament reconstruction: a prospective randomized, controlled trial",No clinical differences between ant,2018,10.1007/s00167-017-4664-x,Knee Surgery Sports Traumatology Arthroscopy,,,
,Ejerhed (2003),Web of Science,"Ejerhed, L; Kartus, J; Sernert, N; Köhler, K; Karlsson, J",Ejerhed,Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction?: A prospective randomized study with a two-year follow-up,Patellar tendon or semitendinosus t,2003,10.1177/03635465030310011401,American Journal Of Sports Medicine,,,
,Koga (2015),Web of Science,"Koga, H; Muneta, T; Yagishita, K; Watanabe, T; Mochizuki, T; Horie, M; Nakamura, T; Otabe, K; Sekiya, I",Koga,Mid- to Long-term Results of Single-Bundle Versus Double-Bundle Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial,Mid- to Long-term Results of Single,2015,10.1016/j.arthro.2014.07.020,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Mutsuzaki (2012),Web of Science,"Mutsuzaki, H; Kanamori, A; Ikeda, K; Hioki, S; Kinugasa, T; Sakane, M",Mutsuzaki,Effect of Calcium Phosphate-Hybridized Tendon Graft in Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial,Effect of Calcium Phosphate-Hybridi,2012,10.1177/0363546512449618,American Journal Of Sports Medicine,,,
,Sajovic (2011),Web of Science,"Sajovic, M; Strahovnik, A; Dernovsek, MZ; Skaza, K",Sajovic,Quality of Life and Clinical Outcome Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction An 11-Year Follow-up of a Randomized Controlled Trial,Quality of Life and Clinical Outcom,2011,10.1177/0363546511411702,American Journal Of Sports Medicine,,,
,Karikis (2016),Web of Science,"Karikis, I; Desai, N; Sernert, N; Rostgard-Christensen, L; Kartus, J",Karikis,Comparison of Anatomic Double- and Single-Bundle Techniques for Anterior Cruciate Ligament Reconstruction Using Hamstring Tendon Autografts A Prospective Randomized Study With 5-Year Clinical and Radiographic Follow-up,Comparison of Anatomic Double- and ,2016,10.1177/0363546515626543,American Journal Of Sports Medicine,,,
,Hill (2005),Web of Science,"Hill, PF; Russell, VJ; Salmon, LJ; Pinczewski, LA",Hill,The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,The influence of supplementary tibi,2005,10.1177/0363546504268036,American Journal Of Sports Medicine,,,
,Muneta (2007),Web of Science,"Muneta, T; Koga, H; Mochizuki, T; Ju, YJ; Hara, K; Nimura, A; Yagishita, K; Sekiya, I",Muneta,A prospective randomized study of 4-strand semitendinosus tendon anterior cruciate ligament reconstruction comparing single-bundle and double-bundle techniques,A prospective randomized study of 4,2007,10.1016/j.arthro.2007.04.010,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Matsumoto (2006),Web of Science,"Matsumoto, A; Yoshiya, S; Muratsu, H; Yagi, M; Iwasaki, Y; Kurosaka, M; Kuroda, R",Matsumoto,A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,A comparison of bone-patellar tendo,2006,10.1177/0363546505279919,American Journal Of Sports Medicine,,,
,Holm (2010),Web of Science,"Holm, I; Oiestad, BE; Risberg, MA; Aune, AK",Holm,No Difference in Knee Function or Prevalence of Osteoarthritis After Reconstruction of the Anterior Cruciate Ligament With 4-Strand Hamstring Autograft Versus Patellar Tendon-Bone Autograft A Randomized Study With 10-Year Follow-up,No Difference in Knee Function or P,2010,10.1177/0363546509350301,American Journal Of Sports Medicine,,,
,Gohil (2007),Web of Science,"Gohil, S; Annear, PO; Breidahl, W",Gohil,Anterior cruciate ligament reconstruction using autologous double hamstrings:: a comparison of standard versus minimal debridement techniques using MRI to assess revascularisation -: A randomised prospective study with a one-year follow-up,Anterior cruciate ligament reconstr,2007,10.1302/0301-620X.89B9.19339,Journal Of Bone And Joint Surgery-British Volume,,,
,Liu (2016),Web of Science,"Liu, YL; Cui, GQ; Yan, H; Yang, YP; Ao, YF",Liu,"Comparison Between Single- and Double-Bundle Anterior Cruciate Ligament Reconstruction With 6-to 8-Stranded Hamstring Autograft: A Prospective, Randomized Clinical Trial",Comparison Between Single- and Doub,2016,10.1177/0363546516650876,American Journal Of Sports Medicine,,,
,Fauno (2005),Web of Science,"Fauno, P; Kaalund, S",Fauno,Tunnel widening after hamstring anterior cruciate ligament reconstruction is influenced by the type of graft fixation used: A prospective randomized study,Tunnel widening after hamstring ant,2005,10.1016/j.arthro.2005.08.023,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Zhao (2007),Web of Science,"Zhao, JH; He, YH; Wang, JH",Zhao,Double-bundle anterior cruciate ligament reconstruction: Four versus eight strands of hamstring tendon graft,Double-bundle anterior cruciate lig,2007,10.1016/j.arthro.2007.01.022,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Sundaraj (2020),Web of Science,"Sundaraj, K; Salmon, LJ; Heath, EL; Winalski, CS; Colak, C; Vasanji, A; Roe, JP; Pinczewski, LA",Sundaraj,"Bioabsorbable Versus Titanium Screws in Anterior Cruciate Ligament Reconstruction Using Hamstring Autograft: A Prospective, Randomized Controlled Trial With 13-Year Follow-up",Bioabsorbable Versus Titanium Screw,2020,10.1177/0363546520911024,American Journal Of Sports Medicine,,,
,Lidén (2007),Web of Science,"Lidén, M; Ejerhed, L; Sernert, N; Laxdal, G; Kartus, J",Lidén,"Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction -: A prospective, randomized study with a 7-year follow-up",Patellar tendon or semitendinosus t,2007,10.1177/0363546506298275,American Journal Of Sports Medicine,,,
,Laxdal (2006),Web of Science,"Laxdal, G; Kartus, J; Eriksson, BI; Faxén, E; Sernert, N; Karlsson, J",Laxdal,Biodegradable and metallic interference screws in anterior cruciate ligament reconstruction surgery using hamstring tendon grafts -: Prospective randomized study of radiographic results and clinical outcome,Biodegradable and metallic interfer,2006,10.1177/0363546506288014,American Journal Of Sports Medicine,,,
,Lui (2012),Web of Science,"Lui, PPY; Cheng, YY; Yung, SH; Hung, ASL; Chan, KM",Lui,A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,A randomized controlled trial compa,2012,10.1016/j.knee.2012.02.005,Knee,,,
,Krishna (2021),Web of Science,"Krishna, L; Chan, CX; Lokaiah, L; Chinnasamy, D; Goyal, S; Wang, MC; Singh, A",Krishna,Five-Strand Versus Four-Strand Hamstring Autografts in Anterior Cruciate Ligament Reconstruction-A Prospective Randomized Controlled Study,Five-Strand Versus Four-Strand Hams,2021,10.1016/j.arthro.2020.08.012,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Konrads (2016),Web of Science,"Konrads, C; Reppenhagen, S; Plumhoff, P; Hoberg, M; Rudert, M; Barthel, T",Konrads,No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,No significant difference in clinic,2016,10.1007/s00402-015-2386-4,Archives Of Orthopaedic And Trauma Surgery,,,
,Grunau (2016),Web of Science,"Grunau, PD; Arneja, S; Leith, JM",Grunau,A Randomized Clinical Trial to Assess the Clinical Effectiveness of a Measured Objective Tensioning Device in Hamstring Anterior Cruciate Ligament Reconstruction,A Randomized Clinical Trial to Asse,2016,10.1177/0363546516634021,American Journal Of Sports Medicine,,,
,Stener (2010),Web of Science,"Stener, S; Ejerhed, L; Sernert, N; Laxdal, G; Rostgård-Christensen, L; Kartus, J",Stener,"A Long-Term, Prospective, Randomized Study Comparing Biodegradable and Metal Interference Screws in Anterior Cruciate Ligament Reconstruction Surgery Radiographic Results and Clinical Outcome","A Long-Term, Prospective, Randomize",2010,10.1177/0363546510361952,American Journal Of Sports Medicine,,,
,Thompson (2016),Web of Science,"Thompson, SM; Salmon, LJ; Waller, A; Linklater, J; Roe, JP; Pinczewski, LA",Thompson,Twenty-Year Outcome of a Longitudinal Prospective Evaluation of Isolated Endoscopic Anterior Cruciate Ligament Reconstruction With Patellar Tendon or Hamstring Autograft,Twenty-Year Outcome of a Longitudin,2016,10.1177/0363546516658041,American Journal Of Sports Medicine,,,
,Liu (2018),Web of Science,"Liu, SH; Li, H; Tao, HY; Sun, YY; Chen, SY; Chen, JW",Liu,A Randomized Clinical Trial to Evaluate Attached Hamstring Anterior Cruciate Ligament Graft Maturity With Magnetic Resonance Imaging,A Randomized Clinical Trial to Eval,2018,10.1177/0363546517752918,American Journal Of Sports Medicine,,,
,Hwang (2013),Web of Science,"Hwang, DH; Shetty, GM; Kim, JI; Kwon, JH; Song, JK; Muñoz, M; Lee, JS; Nha, KW",Hwang,Does Press-Fit Technique Reduce Tunnel Volume Enlargement After Anterior Cruciate Ligament Reconstruction With Autologous Hamstring Tendons? A Prospective Randomized Computed Tomography Study,Does Press-Fit Technique Reduce Tun,2013,10.1016/j.arthro.2012.07.007,Arthroscopy-The Journal Of Arthroscopic And Related Surgery,,,
,Sajovic (2006),Web of Science,"Sajovic, M; Vengust, V; Komadina, R; Tavcar, R; Skaza, K",Sajovic,"A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction - Five-year follow-up","A prospective, randomized compariso",2006,10.1177/0363546506290726,American Journal Of Sports Medicine,,,
,Arama (2015),Web of Science,"Arama, Y; Salmon, LJ; Sri-Ram, K; Linklater, J; Roe, JP; Pinczewski, LA",Arama,"Bioabsorbable Versus Titanium Screws in Anterior Cruciate Ligament Reconstruction Using Hamstring Autograft: A Prospective, Blinded, Randomized Controlled Trial With 5-Year Follow-up",Bioabsorbable Versus Titanium Screw,2015,10.1177/0363546515588926,American Journal Of Sports Medicine,,,
,Zhang (2022),Web of Science,"Zhang, SR; Wen, AZ; Li, SK; Yao, W; Liu, C; Lin, ZF; Jin, ZB; Chen, JW; Hua, YH; Chen, SY; Li, YX",Zhang,Radial Extracorporeal Shock Wave Therapy Enhances Graft Maturation at 2-Year Follow-up After ACL Reconstruction: A Randomized Controlled Trial,Radial Extracorporeal Shock Wave Th,2022,10.1177/23259671221116340,Orthopaedic Journal Of Sports Medicine,,,
,Oliveira (2022),Web of Science,"Oliveira, M; Lobo, P Jr; Imoto, AM; Santos, T; Borges, JHS; Nunes, P; Barin, FR; Damando, M; Peccin, MS",Oliveira,Unilateral Versus Bilateral Resistance Exercise in Postoperative Rehabilitation After ACL Reconstruction With Bone-Patellar Tendon-Bone Graft: A Randomized Controlled Trial,Unilateral Versus Bilateral Resista,2022,10.1177/23259671221088830,Orthopaedic Journal Of Sports Medicine,,,
,Zhang (2020),Web of Science,"Zhang, YH; Liu, SH; Chen, QY; Hu, YW; Sun, YY; Chen, JW",Zhang,Maturity Progression of the Entire Anterior Cruciate Ligament Graft of Insertion-Preserved Hamstring Tendons by 5 Years: A Prospective Randomized Controlled Study Based on Magnetic Resonance Imaging Evaluation,Maturity Progression of the Entire ,2020,10.1177/0363546520951507,American Journal Of Sports Medicine,,,
,Chen (2017),Web of Science,"Chen, TW; Zhang, P; Chen, JW; Hua, YH; Chen, SY",Chen,Long-Term Outcomes of Anterior Cruciate Ligament Reconstruction Using Either Synthetics With Remnant Preservation or Hamstring Autografts A 10-Year Longitudinal Study,Long-Term Outcomes of Anterior Cruc,2017,10.1177/0363546517721692,American Journal Of Sports Medicine,,,
,Karimi-Mobarakeh (2015),Web of Science,"Karimi-Mobarakeh, M; Mardani-Kivi, M; Mortazavi, A; Saheb-Ekhtiari, K; Hashemi-Motlagh, K",Karimi-Mobarakeh,Role of gracilis harvesting in four-strand hamstring tendon anterior cruciate ligament reconstruction: a double-blinded prospective randomized clinical trial,Role of gracilis harvesting in four,2015,10.1007/s00167-014-2890-z,Knee Surgery Sports Traumatology Arthroscopy,,,
,Akelman (2016),Web of Science,"Akelman, MR; Fadale, PD; Hulstyn, MJ; Shalvoy, RM; Garcia, A; Chin, KE; Duryea, J; Badger, GJ; Tung, GA; Fleming, BC",Akelman,Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,Effect of Matching or Overconstrain,2016,10.1177/0363546516638387,American Journal Of Sports Medicine,,,
,Martin-Alguacil (2018),Web of Science,"Martin-Alguacil, JL; Arroyo-Morales, M; Martin-Gomez, JL; Monje-Cabrera, IM; Abellan-Guillen, JF; Esparza-Ros, F; Lozano, ML; Cantarero-Villanueva, I",Martin-Alguacil,Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial,Strength recovery after anterior cr,2018,10.1016/j.knee.2018.03.011,Knee,,,
,van der List (2021),Web of Science,"van der List, JP; Vermeijden, HD; Sierevelt, IN; Rademakers, MV; Falke, MLM; Helmerhorst, GTT; Hoogeslag, RAG; van der Wal, WA; van Noort, A; Kerkhoffs, GMMJ",van der List,Repair versus reconstruction for proximal anterior cruciate ligament tears: a study protocol for a prospective multicenter randomized controlled trial,Repair versus reconstruction for pr,2021,10.1186/s12891-021-04280-y,Bmc Musculoskeletal Disorders,,,
,Shelbourne (2022),Web of Science,"Shelbourne, KD; Benner, R; Gray, T; Bauman, S",Shelbourne,"Range of Motion, Strength, and Function After ACL Reconstruction Using a Contralateral Patellar Tendon Graft","Range of Motion, Strength, and Func",2022,10.1177/23259671221138103,Orthopaedic Journal Of Sports Medicine,,,
,Mohtadi (2019),Web of Science,"Mohtadi, NG; Chan, DS",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions",A Randomized Clinical Trial Compari,2019,10.2106/JBJS.18.01322,Journal Of Bone And Joint Surgery-American Volume,,,
,Boutsiadis (2018),Web of Science,"Boutsiadis, A; Panisset, JC; Devitt, BM; Mauris, F; Barthelemy, R; Barth, J",Boutsiadis,Anterior Laxity at 2 Years After Anterior Cruciate Ligament Reconstruction Is Comparable When Using Adjustable-Loop Suspensory Fixation and Interference Screw Fixation,Anterior Laxity at 2 Years After An,2018,10.1177/0363546518784005,American Journal Of Sports Medicine,,,
,Porter (2020),Web of Science,"Porter, M; Shadbolt, B",Porter,Modified Iliotibial Band Tenodesis Is Indicated to Correct Intraoperative Residual Pivot Shift After Anterior Cruciate Ligament Reconstruction Using an Autologous Hamstring Tendon Graft: A Prospective Randomized Controlled Trial,Modified Iliotibial Band Tenodesis ,2020,10.1177/0363546520910148,American Journal Of Sports Medicine,,,
,Mousavi (2023),Web of Science,"Mousavi, SH; Radi, M; Kazemi, D; Izadpanah, F; Shahrouzian, A",Mousavi,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,Evaluation the results of anterior ,2023,10.1007/s00590-023-03522-0,European Journal Of Orthopaedic Surgery And Traumatology,,,
,Sacramento (2016),Web of Science,"Sacramento, SN; Magalhaes, E; Christel, P; Ingham, S; Fukuda, TY",Sacramento,A new technique in double-bundle anterior cruciate ligament reconstruction with implant-free tibial fixation,A new technique in double-bundle an,2016,10.1007/s00167-014-3430-6,Knee Surgery Sports Traumatology Arthroscopy,,,
,Taylor (2009),Web of Science,"Taylor, DC; DeBerardino, TM; Nelson, BJ; Duffey, M; Tenuta, J; Stoneman, PD; Sturdivant, RX; Mountcastle, S",Taylor,Patellar Tendon Versus Hamstring Tendon Autografts for Anterior Cruciate Ligament Reconstruction A Randomized Controlled Trial Using Similar Femoral and Tibial Fixation Methods,Patellar Tendon Versus Hamstring Te,2009,10.1177/0363546509339577,American Journal Of Sports Medicine,,,
,Zhang (2025),Web of Science,"Zhang, HZ; Chen, X; Ong, MTY; Lei, L; Zheng, LZ; Dai, BY; Tong, WX; Fu, BSC; Xu, JK; Yung, PSH; Qin, L",Zhang,Current Advances of Artificial Ligaments for Anterior Cruciate Ligament Reconstruction: From Biocompatibility to Bioactivity,Current Advances of Artificial Liga,2025,10.1016/j.eng.2024.10.018,Engineering,,,
,Dejour (2013),Web of Science,"Dejour, D; Vanconcelos, W; Bonin, N; Saggin, PRF",Dejour,"Comparative study between mono-bundle bone-patellar tendon-bone, double-bundle hamstring and mono-bundle bone-patellar tendon-bone combined with a modified Lemaire extra-articular procedure in anterior cruciate ligament reconstruction",Comparative study between mono-bund,2013,10.1007/s00264-012-1718-z,International Orthopaedics,,,
,Pinczewski (2002),Web of Science,"Pinczewski, LA; Deehan, DJ; Salmon, LJ; Russell, VJ; Clingeleffer, A",Pinczewski,A five-year comparison of patellar tendon versus four-strand hamstring tendon autograft for Arthroscopic reconstruction of the anterior cruciate ligament,A five-year comparison of patellar ,2002,10.1177/03635465020300041201,American Journal Of Sports Medicine,,,
,Harris (2015),Web of Science,"Harris, K; Driban, JB; Sitler, MR; Cattano, NM; Hootman, JM",Harris,Five-Year Clinical Outcomes of a Randomized Trial of Anterior Cruciate Ligament Treatment Strategies: An Evidence-Based Practice Paper,Five-Year Clinical Outcomes of a Ra,2015,10.4085/1062-6050-49.3.53,Journal Of Athletic Training,,,
,Jansson (2003),Web of Science,"Jansson, KA; Linko, E; Sandelin, J; Harilainen, A",Jansson,A prospective randomized study of patellar versus hamstring tendon autografts for anterior cruciate ligament reconstruction,A prospective randomized study of p,2003,10.1177/03635465030310010501,American Journal Of Sports Medicine,,,
,Sekir (2010),Web of Science,"Sekir, U; Gur, H; Akova, B",Sekir,Early Versus Late Start of Isokinetic Hamstring-Strengthening Exercise After Anterior Cruciate Ligament Reconstruction With Patellar Tendon Graft,Early Versus Late Start of Isokinet,2010,10.1177/0363546509349490,American Journal Of Sports Medicine,,,
,Barenius (2010),Web of Science,"Barenius, B; Nordlander, M; Ponzer, S; Tidermark, J; Eriksson, K",Barenius,Quality of Life and Clinical Outcome After Anterior Cruciate Ligament Reconstruction Using Patellar Tendon Graft or Quadrupled Semitendinosus Graft An 8-Year Follow-up of a Randomized Controlled Trial,Quality of Life and Clinical Outcom,2010,10.1177/0363546510369549,American Journal Of Sports Medicine,,,
,Vilchez-Cavazos (2020),Web of Science,"Vilchez-Cavazos, F; Dávila-Martínez, A; de la Garza-Castro, S; Simental-Mendía, M; Garay-Mendoza, D; Tamez-Mata, Y; Peña-Martínez, V; Acosta-Olivo, C",Vilchez-Cavazos,Anterior cruciate ligament injuries treated with quadriceps tendon autograft versus hamstring autograft: A randomized controlled trial,Anterior cruciate ligament injuries,2020,10.24875/CIRU.19001001,Cirugia Y Cirujanos,,,
,Cantin (2016),Web of Science,"Cantin, O; Lustig, S; Rongieras, F; Saragaglia, D; Lefèvre, N; Graveleau, N; Hulet, C",Cantin,Outcome of cartilage at 12 years of follow-up after anterior cruciate ligament reconstruction,Outcome of cartilage at 12 years of,2016,10.1016/j.otsr.2016.06.011,Orthopaedics & Traumatology-Surgery & Research,,,
,Hoogeslag (2022),Web of Science,"Hoogeslag, RAG; In 't Veld, RH; Brouwer, RW; de Graaff, F; Verdonschot, N",Hoogeslag,Acute Anterior Cruciate Ligament Rupture: Repair or Reconstruction? Five-Year Results of a Randomized Controlled Clinical Trial,Acute Anterior Cruciate Ligament Ru,2022,10.1177/03635465221090527,American Journal Of Sports Medicine,,,
,Runer (2023),Web of Science,"Runer, A; Keeling, L; Wagala, N; Nugraha, H; Özbek, EA; Hughes, JD; Musahl, V",Runer,"Current trends in graft choice for primary anterior cruciate ligament reconstruction - part II: In-vivo kinematics, patient reported outcomes, re-rupture rates, strength recovery, return to sports and complications",Current trends in graft choice for ,2023,10.1186/s40634-023-00601-3,Journal Of Experimental Orthopaedics,,,
